Item Code,Description,Short Desc.,$ Cost,$ Retail,Sale UOM Code,Sale UOM Conv,Item Class,Item Class 2,Item Class 3,Vendor
1385,Woodford Rye Double,WoodR50ml,2.3919,12.8,50ml,1,Alcohol,Alcohol - Spirits,Whisky Rye,Trafalgar
1384,Woodford Rye Single,WoodR25ml,1.19595,6.4,25ml,1,Alcohol,Alcohol - Spirits,Whisky Rye,Trafalgar
1259,Wray & Nephew Double,Wray50ml,0.002173,9.3,50ml,1,Alcohol,Alcohol - Spirits,Rum White,Trafalgar
1260,Wray & Nephew Overproof Rum,WrayButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
71,Wray & Nephew Overproof Rum (Component),WrayBott,0.030429,4.65,ML,0.0014,Alcohol,Alcohol - Spirits,Rum White,Casa Juilia plc
1258,Wray & Nephew Single,Wray25ml,0.001086,4.65,25ml,1,Alcohol,Alcohol - Spirits,Rum White,Trafalgar
810,Yealands Estate,EstatButt,0,0,Each,1,Parent Sale Button,,,Trafalgar
811,Yealands Estate (Component),EstatBott,6.15,0,ML,0.0013,Alcohol,Alcohol - Wine,White Wines,Enotria
677,Yealands Estate 125ml,Estat125ml,1.025205,4.5,125ml,1,Alcohol,Alcohol - Wine,White Wines,Enotria
667,Yealands Estate 175ml,Estat175ml,1.434795,6.1,175ml,1,Alcohol,Alcohol - Wine,White Wines,Enotria
670,Yealands Estate 250ml,Estat250ml,2.049795,8.5,250ml,1,Alcohol,Alcohol - Wine,White Wines,Enotria
671,Yealands Estate 750ml,Estat750ml,6.15,25,Bottle,1,Alcohol,Alcohol - Wine,White Wines,Enotria
1087,Zuma Organic Matcha 12x100g,Matcha,97,0,Each,1,Hot Drinks,,,Cafe Praego
1054,Zuma Original Chocolate Tin ,Zuma Origi,17.6,0,Each,1,Hot Drinks,,,Cafe Praego
1072,Zuma Original Cocoa Shaker,Cocoa,3.33,0,Each,1,Hot Drinks,,,Cafe Praego
1073,Zuma Original Hot Chocolate (Component),ZumaChoc,60.4,0,G,0.001,Hot Drinks,Hot Drinks - Hot Chocolate,,Cafe Praego
1074,Zuma Spiced Chai 1,Spiced Cha,13.2,0,Each,1,Hot Drinks,,,Cafe Praego
198,zzzHot Dog,HotDog,2.5,8,Each,1,Food,Hot Food,,Trafalgar
